participant,id,response,time,group,condition,adjectivestring,filler_acceptability,item_type,scenario,adj_target,adj_secondary,adj_secondary_type,order,stimulus_size,stimulus_price,confidence_on_semantic
2,sp_filler_7,1,2.361,2,bimodal,,questionable,filler,spring,,,,,,,5
2,sp_filler_8,1,2.446,2,bimodal,,unacceptable,filler,spring,,,,,,,5
2,sp_filler_9,5,2.232,2,bimodal,,acceptable,filler,spring,,,,,,,5
2,sp_filler_10,1,2.533,2,bimodal,,unacceptable,filler,spring,,,,,,,5
3,bl_test_1,5,3.681,2,unimodal,big expensive,,test,ball,big,expensive,scalar,first,,,4
3,bl_test_2,5,6.78,2,unimodal,expensive big,,test,ball,big,expensive,scalar,second,,,4
3,bl_test_3,4,4.424,2,unimodal,striped big,,test,ball,big,striped,absolute,second,,,4
3,bl_test_4,5,4.362,2,unimodal,big striped,,test,ball,big,striped,absolute,first,,,4
3,bl_test_5,5,6.051,2,unimodal,big cheap,,test,ball,big,cheap,scalar,first,,,4
3,bl_test_6,4,8.03,2,unimodal,cheap big,,test,ball,big,cheap,scalar,second,,,4
3,bl_test_7,5,3.088,2,unimodal,big plastic,,test,ball,big,plastic,absolute,first,,,4
3,bl_test_8,4,4.271,2,unimodal,plastic big,,test,ball,big,plastic,absolute,second,,,4
3,sp_test_1,5,3.049,2,bimodal,long expensive,,test,spring,long,expensive,scalar,first,,,4
3,sp_test_2,4,4.095,2,bimodal,expensive long,,test,spring,long,expensive,scalar,second,,,4
3,sp_test_3,1,4.719,2,bimodal,plastic long,,test,spring,long,plastic,absolute,second,,,4
3,sp_test_4,4,4.277,2,bimodal,long plastic,,test,spring,long,plastic,absolute,first,,,4
3,sp_test_5,5,4.329,2,bimodal,cheap long,,test,spring,long,cheap,scalar,second,,,4
3,sp_test_6,5,5.216,2,bimodal,long cheap,,test,spring,long,cheap,scalar,first,,,4
3,sp_test_7,4,4.471,2,bimodal,metal long,,test,spring,long,metal,absolute,second,,,4
3,sp_test_8,1,5.661,2,bimodal,long metal,,test,spring,long,metal,absolute,first,,,4
3,bl_filler_1,4,4.3,2,unimodal,,questionable,filler,ball,,,,,,,4
3,bl_filler_2,1,3.982,2,unimodal,,questionable,filler,ball,,,,,,,4
3,bl_filler_3,5,3.721,2,unimodal,,acceptable,filler,ball,,,,,,,4
3,bl_filler_4,5,5.483,2,unimodal,,acceptable,filler,ball,,,,,,,4
3,bl_filler_5,5,2.845,2,unimodal,,acceptable,filler,ball,,,,,,,4
3,bl_filler_6,1,4.249,2,unimodal,,unacceptable,filler,ball,,,,,,,4
3,bl_filler_7,4,5.555,2,unimodal,,questionable,filler,ball,,,,,,,4
3,bl_filler_8,5,3.853,2,unimodal,,questionable,filler,ball,,,,,,,4
3,bl_filler_9,1,4.477,2,unimodal,,unacceptable,filler,ball,,,,,,,4
3,bl_filler_10,4,3.316,2,unimodal,,acceptable,filler,ball,,,,,,,4
3,sp_filler_1,4,10.01,2,bimodal,,questionable,filler,spring,,,,,,,4
3,sp_filler_2,5,2.128,2,bimodal,,acceptable,filler,spring,,,,,,,4
3,sp_filler_3,5,6.577,2,bimodal,,acceptable,filler,spring,,,,,,,4
3,sp_filler_4,3,8.533,2,bimodal,,questionable,filler,spring,,,,,,,4
3,sp_filler_5,2,6.379,2,bimodal,,questionable,filler,spring,,,,,,,4
3,sp_filler_6,5,3.793,2,bimodal,,acceptable,filler,spring,,,,,,,4
3,sp_filler_7,4,3.919,2,bimodal,,questionable,filler,spring,,,,,,,4
3,sp_filler_8,2,3.996,2,bimodal,,unacceptable,filler,spring,,,,,,,4
3,sp_filler_9,5,8.549,2,bimodal,,acceptable,filler,spring,,,,,,,4
