experiment,participant,id,response,time,group,condition,adjectivestring,filler_acceptability,item_type,scenario,adj_target,adj_secondary,adj_secondary_type,order,stimulus_size,stimulus_price,confidence_on_semantic,disagreement_on_adj_target,disagreement_on_adj_secondary
1,104,tv_filler_8,1,2.209,2,unimodal,,unacceptable,filler,tv,,,,,,,,,
1,104,tv_filler_9,1,5.222,2,unimodal,,unacceptable,filler,tv,,,,,,,,,
1,104,tv_filler_10,5,4.065,2,unimodal,,acceptable,filler,tv,,,,,,,,,
1,104,ch_filler_1,4,5.576,2,bimodal,,questionable,filler,couch,,,,,,,,,
1,104,ch_filler_2,5,2.957,2,bimodal,,acceptable,filler,couch,,,,,,,,,
1,104,ch_filler_3,5,2.677,2,bimodal,,acceptable,filler,couch,,,,,,,,,
1,104,ch_filler_4,1,7.397,2,bimodal,,questionable,filler,couch,,,,,,,,,
1,104,ch_filler_5,1,4.208,2,bimodal,,questionable,filler,couch,,,,,,,,,
1,104,ch_filler_6,5,3.438,2,bimodal,,acceptable,filler,couch,,,,,,,,,
1,104,ch_filler_7,1,2.419,2,bimodal,,unacceptable,filler,couch,,,,,,,,,
1,104,ch_filler_8,1,3.021,2,bimodal,,unacceptable,filler,couch,,,,,,,,,
1,104,ch_filler_9,5,3.242,2,bimodal,,acceptable,filler,couch,,,,,,,,,
1,104,ch_filler_10,1,2.394,2,bimodal,,unacceptable,filler,couch,,,,,,,,,
1,105,tv_test_1,5,4.008,1,bimodal,big expensive,,test,tv,big,expensive,scalar,first,,,,,
1,105,tv_test_2,4,12.884,1,bimodal,expensive big,,test,tv,big,expensive,scalar,second,,,,,
1,105,tv_test_3,4,11.058,1,bimodal,refurbished big,,test,tv,big,refurbished,absolute,second,,,,,
1,105,tv_test_4,5,3.942,1,bimodal,big refurbished,,test,tv,big,refurbished,absolute,first,,,,,
1,105,tv_test_5,5,2.756,1,bimodal,big cheap,,test,tv,big,cheap,scalar,first,,,,,
1,105,tv_test_6,3,10.41,1,bimodal,cheap big,,test,tv,big,cheap,scalar,second,,,,,
1,105,tv_test_7,5,2.657,1,bimodal,big discounted,,test,tv,big,discounted,absolute,first,,,,,
1,105,tv_test_8,5,7.338,1,bimodal,discounted big,,test,tv,big,discounted,absolute,second,,,,,
1,105,ch_test_1,5,3.822,1,unimodal,long expensive,,test,couch,long,expensive,scalar,first,,,,,
1,105,ch_test_2,5,4.509,1,unimodal,expensive long,,test,couch,long,expensive,scalar,second,,,,,
1,105,ch_test_3,2,7.586,1,unimodal,leather long,,test,couch,long,leather,absolute,second,,,,,
1,105,ch_test_4,5,3.301,1,unimodal,long leather,,test,couch,long,leather,absolute,first,,,,,
1,105,ch_test_5,5,3.401,1,unimodal,cheap long,,test,couch,long,cheap,scalar,second,,,,,
1,105,ch_test_6,5,5.311,1,unimodal,long cheap,,test,couch,long,cheap,scalar,first,,,,,
1,105,ch_test_7,5,3.475,1,unimodal,discounted long,,test,couch,long,discounted,absolute,second,,,,,
1,105,ch_test_8,5,2.843,1,unimodal,long discounted,,test,couch,long,discounted,absolute,first,,,,,
1,105,tv_filler_1,5,3.142,1,bimodal,,questionable,filler,tv,,,,,,,,,
1,105,tv_filler_2,1,6.871,1,bimodal,,questionable,filler,tv,,,,,,,,,
1,105,tv_filler_3,5,4.025,1,bimodal,,acceptable,filler,tv,,,,,,,,,
1,105,tv_filler_4,5,4.039,1,bimodal,,acceptable,filler,tv,,,,,,,,,
1,105,tv_filler_5,5,3.017,1,bimodal,,acceptable,filler,tv,,,,,,,,,
1,105,tv_filler_6,1,2.762,1,bimodal,,unacceptable,filler,tv,,,,,,,,,
1,105,tv_filler_7,1,2.465,1,bimodal,,unacceptable,filler,tv,,,,,,,,,
1,105,tv_filler_8,1,2.15,1,bimodal,,unacceptable,filler,tv,,,,,,,,,
1,105,tv_filler_9,1,3.983,1,bimodal,,unacceptable,filler,tv,,,,,,,,,
1,105,tv_filler_10,5,2.791,1,bimodal,,acceptable,filler,tv,,,,,,,,,
1,105,ch_filler_1,5,3.589,1,unimodal,,questionable,filler,couch,,,,,,,,,
1,105,ch_filler_2,5,2.089,1,unimodal,,acceptable,filler,couch,,,,,,,,,
1,105,ch_filler_3,5,4.645,1,unimodal,,acceptable,filler,couch,,,,,,,,,
1,105,ch_filler_4,5,4.956,1,unimodal,,questionable,filler,couch,,,,,,,,,
1,105,ch_filler_5,2,9.858,1,unimodal,,questionable,filler,couch,,,,,,,,,
1,105,ch_filler_6,5,2.742,1,unimodal,,acceptable,filler,couch,,,,,,,,,
1,105,ch_filler_7,1,3.501,1,unimodal,,unacceptable,filler,couch,,,,,,,,,
1,105,ch_filler_8,1,2.423,1,unimodal,,unacceptable,filler,couch,,,,,,,,,
1,105,ch_filler_9,5,8.278,1,unimodal,,acceptable,filler,couch,,,,,,,,,
1,105,ch_filler_10,1,4.038,1,unimodal,,unacceptable,filler,couch,,,,,,,,,
1,106,tv_test_1,3,6.365,2,unimodal,big expensive,,test,tv,big,expensive,scalar,first,,,,,
1,106,tv_test_2,4,4.63,2,unimodal,expensive big,,test,tv,big,expensive,scalar,second,,,,,
1,106,tv_test_3,3,4.126,2,unimodal,refurbished big,,test,tv,big,refurbished,absolute,second,,,,,
1,106,tv_test_4,4,6.492,2,unimodal,big refurbished,,test,tv,big,refurbished,absolute,first,,,,,
1,106,tv_test_5,3,5.426,2,unimodal,big cheap,,test,tv,big,cheap,scalar,first,,,,,
1,106,tv_test_6,4,4.129,2,unimodal,cheap big,,test,tv,big,cheap,scalar,second,,,,,
1,106,tv_test_7,2,4.616,2,unimodal,big discounted,,test,tv,big,discounted,absolute,first,,,,,
1,106,tv_test_8,5,3.355,2,unimodal,discounted big,,test,tv,big,discounted,absolute,second,,,,,
1,106,ch_test_1,2,3.579,2,bimodal,long expensive,,test,couch,long,expensive,scalar,first,,,,,
1,106,ch_test_2,4,3.399,2,bimodal,expensive long,,test,couch,long,expensive,scalar,second,,,,,
1,106,ch_test_3,1,2.243,2,bimodal,leather long,,test,couch,long,leather,absolute,second,,,,,
1,106,ch_test_4,5,3.118,2,bimodal,long leather,,test,couch,long,leather,absolute,first,,,,,
1,106,ch_test_5,4,7.046,2,bimodal,cheap long,,test,couch,long,cheap,scalar,second,,,,,
1,106,ch_test_6,2,5.628,2,bimodal,long cheap,,test,couch,long,cheap,scalar,first,,,,,
1,106,ch_test_7,4,6.964,2,bimodal,discounted long,,test,couch,long,discounted,absolute,second,,,,,
1,106,ch_test_8,2,3.766,2,bimodal,long discounted,,test,couch,long,discounted,absolute,first,,,,,
1,106,tv_filler_1,5,2.331,2,unimodal,,questionable,filler,tv,,,,,,,,,
1,106,tv_filler_2,2,4.002,2,unimodal,,questionable,filler,tv,,,,,,,,,
1,106,tv_filler_3,5,6.476,2,unimodal,,acceptable,filler,tv,,,,,,,,,
1,106,tv_filler_4,4,2.444,2,unimodal,,acceptable,filler,tv,,,,,,,,,
1,106,tv_filler_5,5,2.814,2,unimodal,,acceptable,filler,tv,,,,,,,,,
1,106,tv_filler_6,1,1.958,2,unimodal,,unacceptable,filler,tv,,,,,,,,,
1,106,tv_filler_7,1,2.248,2,unimodal,,unacceptable,filler,tv,,,,,,,,,
1,106,tv_filler_8,1,1.767,2,unimodal,,unacceptable,filler,tv,,,,,,,,,
1,106,tv_filler_9,1,2.462,2,unimodal,,unacceptable,filler,tv,,,,,,,,,
1,106,tv_filler_10,5,6.67,2,unimodal,,acceptable,filler,tv,,,,,,,,,
1,106,ch_filler_1,5,5.286,2,bimodal,,questionable,filler,couch,,,,,,,,,
1,106,ch_filler_2,5,2.57,2,bimodal,,acceptable,filler,couch,,,,,,,,,
1,106,ch_filler_3,5,3.517,2,bimodal,,acceptable,filler,couch,,,,,,,,,
1,106,ch_filler_4,5,3.365,2,bimodal,,questionable,filler,couch,,,,,,,,,
1,106,ch_filler_5,2,6.783,2,bimodal,,questionable,filler,couch,,,,,,,,,
1,106,ch_filler_6,5,2.863,2,bimodal,,acceptable,filler,couch,,,,,,,,,
1,106,ch_filler_7,1,2.007,2,bimodal,,unacceptable,filler,couch,,,,,,,,,
1,106,ch_filler_8,1,2.558,2,bimodal,,unacceptable,filler,couch,,,,,,,,,
1,106,ch_filler_9,4,5.753,2,bimodal,,acceptable,filler,couch,,,,,,,,,
1,106,ch_filler_10,1,4.047,2,bimodal,,unacceptable,filler,couch,,,,,,,,,
1,107,tv_test_1,4,2.854,1,bimodal,big expensive,,test,tv,big,expensive,scalar,first,,,,,
1,107,tv_test_2,5,3.377,1,bimodal,expensive big,,test,tv,big,expensive,scalar,second,,,,,
1,107,tv_test_3,4,3.01,1,bimodal,refurbished big,,test,tv,big,refurbished,absolute,second,,,,,
1,107,tv_test_4,5,3.232,1,bimodal,big refurbished,,test,tv,big,refurbished,absolute,first,,,,,
1,107,tv_test_5,4,4.657,1,bimodal,big cheap,,test,tv,big,cheap,scalar,first,,,,,
1,107,tv_test_6,5,2.525,1,bimodal,cheap big,,test,tv,big,cheap,scalar,second,,,,,
1,107,tv_test_7,5,2.729,1,bimodal,big discounted,,test,tv,big,discounted,absolute,first,,,,,
1,107,tv_test_8,4,3.823,1,bimodal,discounted big,,test,tv,big,discounted,absolute,second,,,,,
1,107,ch_test_1,5,1.75,1,unimodal,long expensive,,test,couch,long,expensive,scalar,first,,,,,
1,107,ch_test_2,4,2.413,1,unimodal,expensive long,,test,couch,long,expensive,scalar,second,,,,,
1,107,ch_test_3,4,2.024,1,unimodal,leather long,,test,couch,long,leather,absolute,second,,,,,
1,107,ch_test_4,5,6.727,1,unimodal,long leather,,test,couch,long,leather,absolute,first,,,,,
1,107,ch_test_5,4,2.269,1,unimodal,cheap long,,test,couch,long,cheap,scalar,second,,,,,
1,107,ch_test_6,4,2.406,1,unimodal,long cheap,,test,couch,long,cheap,scalar,first,,,,,
1,107,ch_test_7,5,2.896,1,unimodal,discounted long,,test,couch,long,discounted,absolute,second,,,,,
1,107,ch_test_8,5,4.577,1,unimodal,long discounted,,test,couch,long,discounted,absolute,first,,,,,
1,107,tv_filler_1,4,2.184,1,bimodal,,questionable,filler,tv,,,,,,,,,
1,107,tv_filler_2,2,7.135,1,bimodal,,questionable,filler,tv,,,,,,,,,
1,107,tv_filler_3,5,2.267,1,bimodal,,acceptable,filler,tv,,,,,,,,,
1,107,tv_filler_4,5,3.324,1,bimodal,,acceptable,filler,tv,,,,,,,,,
1,107,tv_filler_5,5,2.229,1,bimodal,,acceptable,filler,tv,,,,,,,,,
1,107,tv_filler_6,5,1.926,1,bimodal,,unacceptable,filler,tv,,,,,,,,,
1,107,tv_filler_7,1,4.572,1,bimodal,,unacceptable,filler,tv,,,,,,,,,
1,107,tv_filler_8,1,3.448,1,bimodal,,unacceptable,filler,tv,,,,,,,,,
1,107,tv_filler_9,1,4.243,1,bimodal,,unacceptable,filler,tv,,,,,,,,,
1,107,tv_filler_10,5,1.796,1,bimodal,,acceptable,filler,tv,,,,,,,,,
1,107,ch_filler_1,5,4.227,1,unimodal,,questionable,filler,couch,,,,,,,,,
1,107,ch_filler_2,5,1.306,1,unimodal,,acceptable,filler,couch,,,,,,,,,
1,107,ch_filler_3,5,3.795,1,unimodal,,acceptable,filler,couch,,,,,,,,,
1,107,ch_filler_4,4,2.657,1,unimodal,,questionable,filler,couch,,,,,,,,,
1,107,ch_filler_5,4,2.818,1,unimodal,,questionable,filler,couch,,,,,,,,,
1,107,ch_filler_6,5,2.6,1,unimodal,,acceptable,filler,couch,,,,,,,,,
1,107,ch_filler_7,1,4.08,1,unimodal,,unacceptable,filler,couch,,,,,,,,,
1,107,ch_filler_8,5,1.715,1,unimodal,,unacceptable,filler,couch,,,,,,,,,
1,107,ch_filler_9,5,2.66,1,unimodal,,acceptable,filler,couch,,,,,,,,,
1,107,ch_filler_10,1,2.603,1,unimodal,,unacceptable,filler,couch,,,,,,,,,
1,108,tv_test_1,5,2.1,1,bimodal,big expensive,,test,tv,big,expensive,scalar,first,,,,,
1,108,tv_test_2,5,3.509,1,bimodal,expensive big,,test,tv,big,expensive,scalar,second,,,,,
1,108,tv_test_3,1,4.569,1,bimodal,refurbished big,,test,tv,big,refurbished,absolute,second,,,,,
1,108,tv_test_4,5,2.693,1,bimodal,big refurbished,,test,tv,big,refurbished,absolute,first,,,,,
1,108,tv_test_5,5,3.202,1,bimodal,big cheap,,test,tv,big,cheap,scalar,first,,,,,
1,108,tv_test_6,5,4.251,1,bimodal,cheap big,,test,tv,big,cheap,scalar,second,,,,,
1,108,tv_test_7,3,8.434,1,bimodal,big discounted,,test,tv,big,discounted,absolute,first,,,,,
1,108,tv_test_8,5,6.736,1,bimodal,discounted big,,test,tv,big,discounted,absolute,second,,,,,
1,108,ch_test_1,5,8.034,1,unimodal,long expensive,,test,couch,long,expensive,scalar,first,,,,,
1,108,ch_test_2,5,3.139,1,unimodal,expensive long,,test,couch,long,expensive,scalar,second,,,,,
1,108,ch_test_3,1,2.767,1,unimodal,leather long,,test,couch,long,leather,absolute,second,,,,,
1,108,ch_test_4,5,3.102,1,unimodal,long leather,,test,couch,long,leather,absolute,first,,,,,
1,108,ch_test_5,5,4.069,1,unimodal,cheap long,,test,couch,long,cheap,scalar,second,,,,,
1,108,ch_test_6,5,2.78,1,unimodal,long cheap,,test,couch,long,cheap,scalar,first,,,,,
1,108,ch_test_7,3,7.059,1,unimodal,discounted long,,test,couch,long,discounted,absolute,second,,,,,
1,108,ch_test_8,4,3.448,1,unimodal,long discounted,,test,couch,long,discounted,absolute,first,,,,,
1,108,tv_filler_1,5,6.175,1,bimodal,,questionable,filler,tv,,,,,,,,,
1,108,tv_filler_2,2,12.641,1,bimodal,,questionable,filler,tv,,,,,,,,,
1,108,tv_filler_3,5,2.926,1,bimodal,,acceptable,filler,tv,,,,,,,,,
1,108,tv_filler_4,5,4.894,1,bimodal,,acceptable,filler,tv,,,,,,,,,
1,108,tv_filler_5,5,2.618,1,bimodal,,acceptable,filler,tv,,,,,,,,,
1,108,tv_filler_6,1,4.497,1,bimodal,,unacceptable,filler,tv,,,,,,,,,
1,108,tv_filler_7,1,2.76,1,bimodal,,unacceptable,filler,tv,,,,,,,,,
1,108,tv_filler_8,2,4.769,1,bimodal,,unacceptable,filler,tv,,,,,,,,,
1,108,tv_filler_9,1,4.036,1,bimodal,,unacceptable,filler,tv,,,,,,,,,
